id,date,text,user,hashtags
35,2025-10-18,"Elecciones generales de Bolivia de 2025 Bolivian presidential election, runoff Who'll be the next president? At the moment, Rodrigo Paz Pereira is in the lead on our prediction market. #EleccionPresidencial #Elecciones2025 Bolivia Elige #EleccionesBolivia2025 #boliviavota2025 Please also take part in our survey on X!   https://t.co/I3cU9PaYHg https://t.co/vuDBjwT7zk","Wahlfieber","#EleccionPresidencial, #Elecciones2025, #EleccionesBolivia2025, #boliviavota2025"
36,2025-10-18,"ELECCIONES PRESIDENCIALES  #Elecciones2025 #Bolivia #boliviaelije @evoespueblo @tutoquiroga @carlosdmesag @unitelbolivia @RedUnoTv @marceloclaure","gt_leonel","#Elecciones2025, #Bolivia, #boliviaelije"
37,2025-10-18,"Con la vista puesta en las elecciones presidenciales en 2a. vuelta mañana 19/10, en Bolivia, este 📚 de uno de los mejores expertos electorales de América Latina, Salvador Romero, que también fue maxima autoridad electoral en ese país, no puede ser + oportuno. #eleccionesBolivia","Mangeles_HM","#eleccionesBolivia"
38,2025-10-18,"Tio Cerron JAMÁS permitirimos que nuestro querido PERÚ sea como Cuba, Venezuela, Bolivia y Nicaragua con eso. En estas elecciones del 2026 sepultaremos a toda la IZQUIERDA MISERABLE y sobre todo tu Partido PL. Ya bastante retrazo nos trajo PC y Dina.","FOREVEREPC",""
39,2025-10-18,"El Consejo Nacional Electoral (CNE) abre una investigación preliminar contra el expresidente Álvaro Uribe por presuntas irregularidades en su candidatura al Senado para las elecciones de 2026. Lee más aquí: https://lapatria.bo/2025/10/18/colombia-cne-investiga-a-uribe-por-supuestas-irregularidades-en-candidatura-al-senado/ #Uribe #CNE #Colombia","LaPatriaDigital","#Uribe, #CNE, #Colombia"
40,2025-10-18,"#NoticieroPopular 🗳 Misión de observadores de la Unión Europea participará de las elecciones presidenciales de este domingo.","rtp_bolivia","#NoticieroPopular"
41,2025-10-18,"#NoticieroPopular 🗳 COPPPAL despliega una misión de observadores internacionales para las elecciones presidenciales de este domingo.","rtp_bolivia","#NoticieroPopular"
42,2025-10-18,"#Bolivia | A horas de la segunda vuelta de las elecciones presidenciales, la Misión de Observación Electoral de la Unión Europea (MOE UE) se reunió con autoridades del Tribunal Supremo Electoral (TSE) para revisar los preparativos.  https://www.reduno.com.bo/nota/observacion-electoral-en-bolivia-la-union-europea-pide-respeto-a-resultados-y-confianza-en-el-tse-para-el-balotaje-historico-20251018135334","RedUnoTv","#Bolivia"
43,2025-10-18,"@JaimeDunn_ lo esperamos para las próximas elecciones, pero debe llegar con gente limpia, nueva sin paso político para eliminar de raíz toda la porquería de #Bolivia.","VallejosArana","#Bolivia"
44,2025-10-18,"Para ganar estas elecciones  junto a Tuto Quiroga Presidente de Bolivia.","sambrana_m68852",""
