id,date,text,user,hashtags
38,2025-10-19,"Cómo va el balotaje de las Elecciones 2025 en Bolivia https://www.lanacion.com.ar/el-mundo/resultados-en-vivo-de-bolivia-como-va-el-balotaje-de-las-elecciones-2025-nid19102025/","Volcon",""
39,2025-10-19,"🇨🇴 Mal día para GUSTAVO PETRO - En bolivia gana un presidente de derecha y se acaba el socialismo. - La familia PETRO será incluída en la lista de la OFAC por estar relacionados con el NARCOTRÁFICO. - la Colombia humana de PETRO se quemó en la votación de las elecciones de los jóvenes.","ojocolombia2026",""
40,2025-10-19,"Mira las visualizaciones!!! Sjsjsjs hablamos de las elecciones y si llegaron 😹😅 HEAD 2 HEAD SPECIAL STORY #H2HseriesSpecial","SurfJavaBolivia","#H2HseriesSpecial"
41,2025-10-19,"MIENTEN COMO SIEMPRE Elecciones en Bolivia 🇧🇴  Urnas cerradas elecciones. La Organización de Estados Americanos, (OEA) pide a los candidatos y partidos esperar los resultados oficiales con “calma y prudencia”.","JQmonarca",""
42,2025-10-19,"Resultados votaciónes en Arica Chile para elecciones de #bolivia, como que no piensan en acá los residentes 😪","da_ri_nia","#bolivia"
43,2025-10-19,"Y vos quién demonios sos para opinar?  Otro vago piquetero parásito del Estado, que se quedó sin “beca” cuando entró Milei Bolivia ha elegido las cuatro últimas elecciones el final político del masismo del pederasta morales a quien tanto idolatran Bando de parásitos trabajen!","zambrana_lola",""
44,2025-10-19,"Soy de Bolivia pero quiero que sepan que estas elecciones están lejos de dejar a la izquierda encerrada a lo mucho será victoria por poco o seguiremos en la izquierda gracias a Paz y su alianza con el narco pedófilo de Evo.","PabloTercerosDT",""
45,2025-10-19,"@grok quien va ganando en boca de urna en las elecciones presidenciales en Bolivia?","LorenitaC23",""
46,2025-10-19,"A pocas horas de saber los resultados reales! Estan dispuestos a aceptar los resultados electorales? #Bolivia Elecciones presidenciales 2025","clavijo_israel","#Bolivia"
47,2025-10-19,"¡SE VA LA TARDE! SOLEADO EN LA PAZ - DIA DE ELECCIONES EN BOLIVIA","edgaraliag45381",""
48,2025-10-19,"Cerca de las 16:00 de este domingo cerraron las mesas electorales, para dar paso al conteo de votos y el llenado de actas, que luego fueron trasladados a los centros de cómputo #Unitel #Elecciones #TSE #Cómputo https://unitel.bo/noticias/asi-decidimos/organo-electoral-publica-el-computo-oficial-en-su-pagina-web-EE17750620","unitelbolivia","#Unitel, #Elecciones, #TSE, #Cómputo"
49,2025-10-19,"Rodrigo Paz Pereira, se habría impuesto ante Jorge Quiroga Ramirez en la segunda vuelta de las Elecciones Generales en Bolivia, con un 90% de mesas registradas en el Sistema de Resultados Preeliminares, Paz obtendría el 52% de los votos sobre 47% de Jorge Quiroga Ramirez.","cgtnenespanol",""
